-1992310784,5,-(2^31 - 2^27 - 2^24 - 2^22 + 2^14),112
-2583683072,5,-(2^31 + 2^28 + 2^27 + 2^25 - 2^13),104
-2583683072,5,-(2^31 + 2^29 - 2^26 - 2^25 - 2^13),104
-2491417088,5,-(2^31 + 2^28 + 2^26 + 2^23 + 2^9),72
-2134638080,5,-(2^31 - 2^23 - 2^22 - 2^18 - 2^9),72
-2149061120,5,-(2^31 + 2^20 + 2^19 + 2^12 + 2^9),72
-1797324800,6,-(2^31 - 2^28 - 2^26 - 2^24 + 2^21 + 2^16),128
2195783680,6,2^31 + 2^25 + 2^23 + 2^22 + 2^21 + 2^16,128
-2532245504,6,-(2^31 + 2^29 - 2^27 - 2^24 - 2^20 - 2^16),128
-2532245504,6,-(2^31 + 2^28 + 2^27 - 2^24 - 2^20 - 2^16),128
-2091450368,6,-(2^31 - 2^26 + 2^23 + 2^21 + 2^19 + 2^16),128
-2550824960,6,-(2^31 + 2^28 + 2^27 + 2^19 + 2^17 + 2^15),120
1707065344,6,2^31 - 2^28 - 2^27 - 2^25 - 2^22 - 2^14,112
-1992310784,6,-(2^31 - 2^27 - 2^25 + 2^23 + 2^22 + 2^14),112
-1992310784,6,-(2^31 - 2^27 - 2^24 - 2^23 + 2^22 + 2^14),112
2721955840,6,2^31 + 2^29 + 2^25 + 2^22 - 2^17 - 2^14,112
2675359744,6,2^31 + 2^29 - 2^23 - 2^19 - 2^16 - 2^14,112
-2583683072,6,-(2^31 + 2^28 + 2^27 + 2^26 - 2^25 - 2^13),104
1650466816,6,2^31 - 2^29 + 2^25 + 2^22 + 2^21 + 2^13,104
-2752372736,6,-(2^31 + 2^29 + 2^26 + 2^20 - 2^17 - 2^13),104
-2349824000,6,-(2^31 + 2^27 + 2^26 + 2^20 - 2^15 - 2^11),88
1601947648,6,2^31 - 2^29 - 2^23 - 2^18 - 2^14 + 2^11,88
2273290240,6,2^31 + 2^27 - 2^23 - 2^14 - 2^12 - 2^11,88
-2690382848,6,-(2^31 + 2^29 + 2^23 - 2^21 - 2^18 - 2^10),80
-2690382848,6,-(2^31 + 2^29 + 2^22 + 2^21 - 2^18 - 2^10),80
-1341522944,6,-(2^31 - 2^29 - 2^28 - 2^19 - 2^17 + 2^10),80
2315650048,6,2^31 + 2^27 + 2^25 + 2^18 + 2^17 + 2^10,80
2751560704,6,2^31 + 2^29 + 2^26 + 2^17 - 2^15 - 2^10,80
2751560704,6,2^31 + 2^29 + 2^26 + 2^16 + 2^15 - 2^10,80
1845240832,6,2^31 - 2^28 - 2^25 - 2^18 + 2^13 + 2^10,80
-2197953536,6,-(2^31 + 2^25 + 2^24 + 2^17 + 2^13 - 2^10),80
2164593664,6,2^31 + 2^24 + 2^18 + 2^16 + 2^12 + 2^10,80
2649488896,6,2^31 + 2^29 - 2^25 - 2^20 - 2^18 - 2^9,72
-2136210944,6,-(2^31 - 2^23 - 2^21 - 2^19 - 2^18 - 2^9),72
2282799616,6,2^31 + 2^27 + 2^20 + 2^15 + 2^14 + 2^9,72
-1996447232,6,-(2^31 - 2^27 - 2^24 - 2^15 - 2^13 - 2^9),72
2142261760,6,2^31 - 2^22 - 2^20 + 2^14 + 2^12 + 2^9,72
-2390750720,6,-(2^31 + 2^28 - 2^24 - 2^23 - 2^11 - 2^9),72
-2491417088,6,-(2^31 + 2^28 + 2^26 + 2^23 + 2^10 - 2^9),72
-2134638080,6,-(2^31 - 2^23 - 2^22 - 2^18 - 2^10 + 2^9),72
-2149061120,6,-(2^31 + 2^20 + 2^19 + 2^12 + 2^10 - 2^9),72
2833383424,7,2^31 + 2^29 + 2^27 + 2^23 + 2^22 + 2^21 + 2^17,136
-1797324800,7,-(2^31 - 2^29 + 2^27 + 2^25 + 2^24 + 2^21 + 2^16),128
-1797324800,7,-(2^31 - 2^28 - 2^27 + 2^25 + 2^24 + 2^21 + 2^16),128
-1797324800,7,-(2^31 - 2^28 - 2^26 - 2^25 + 2^24 + 2^21 + 2^16),128
-1797324800,7,-(2^31 - 2^28 - 2^26 - 2^23 - 2^22 - 2^21 + 2^16),128
-2532245504,7,-(2^31 + 2^28 + 2^26 + 2^25 + 2^24 - 2^20 - 2^16),128
-2091450368,7,-(2^31 - 2^27 + 2^26 + 2^23 + 2^21 + 2^19 + 2^16),128
-2091450368,7,-(2^31 - 2^25 - 2^24 - 2^23 + 2^21 + 2^19 + 2^16),128
-2091450368,7,-(2^31 - 2^25 - 2^24 - 2^22 - 2^21 + 2^19 + 2^16),128
-2091450368,7,-(2^31 - 2^25 - 2^24 - 2^22 - 2^20 - 2^19 + 2^16),128
2195783680,7,2^31 + 2^25 + 2^23 + 2^22 + 2^21 + 2^17 - 2^16,128
-1347190784,7,-(2^31 - 2^29 - 2^28 + 2^22 + 2^19 + 2^18 + 2^15),120
2807922688,7,2^31 + 2^29 + 2^27 - 2^23 - 2^21 - 2^17 - 2^15,120
-2550824960,7,-(2^31 + 2^28 + 2^27 + 2^20 - 2^18 - 2^16 - 2^15),120
-2550824960,7,-(2^31 + 2^28 + 2^27 + 2^19 + 2^18 - 2^16 - 2^15),120
-2550824960,7,-(2^31 + 2^28 + 2^27 + 2^19 + 2^17 + 2^16 - 2^15),120
-1992310784,7,-(2^31 - 2^28 + 2^26 + 2^25 + 2^23 + 2^22 + 2^14),112
-1992310784,7,-(2^31 - 2^27 - 2^26 + 2^25 + 2^23 + 2^22 + 2^14),112
-1966063616,7,-(2^31 - 2^27 - 2^25 - 2^23 - 2^22 - 2^20 - 2^14),112
2721955840,7,2^31 + 2^29 + 2^25 + 2^23 - 2^22 - 2^17 - 2^14,112
-2786115584,7,-(2^31 + 2^29 + 2^26 + 2^25 + 2^20 + 2^16 - 2^14),112
1707065344,7,2^31 - 2^28 - 2^27 - 2^25 - 2^22 - 2^15 + 2^14,112
-2786115584,7,-(2^31 + 2^29 + 2^26 + 2^25 + 2^20 + 2^15 + 2^14),112
1471725568,7,2^31 - 2^29 - 2^27 - 2^22 - 2^19 + 2^15 + 2^14,112
2502172672,7,2^31 + 2^28 + 2^26 + 2^24 + 2^21 + 2^18 + 2^13,104
-1482825728,7,-(2^31 - 2^29 - 2^27 + 2^22 + 2^21 + 2^17 + 2^13),104
-2752372736,7,-(2^31 + 2^29 + 2^26 + 2^21 - 2^20 - 2^17 - 2^13),104
-2752372736,7,-(2^31 + 2^29 + 2^26 + 2^19 + 2^18 + 2^17 - 2^13),104
-1489018880,7,-(2^31 - 2^29 - 2^27 + 2^23 + 2^22 + 2^15 + 2^13),104
