-2147489792,3,-(2^31 + 2^12 + 2^11),44
-2416246784,4,-(2^31 + 2^28 + 2^18 + 2^16),64
-2148552704,4,-(2^31 + 2^20 + 2^14 + 2^12),48
-2969600000,5,-(2^31 + 2^29 + 2^28 + 2^24 + 2^15),60
-2250248192,5,-(2^31 + 2^26 + 2^25 + 2^21 + 2^12),48
-2182221824,5,-(2^31 + 2^25 + 2^20 + 2^17 + 2^12),48
-2147717120,5,-(2^31 + 2^17 + 2^16 + 2^15 + 2^12),48
2421164032,5,2^31 + 2^28 + 2^22 + 2^20 + 2^11,44
-2164275200,5,-(2^31 + 2^24 + 2^13 + 2^12 + 2^11),44
-2819621888,5,-(2^31 + 2^29 + 2^27 + 2^20 + 2^10),40
2181108736,5,2^31 + 2^25 + 2^16 + 2^12 + 2^10,40
-2281707008,5,-(2^31 + 2^27 + 2^12 + 2^10 + 2^9),36
